song,artist,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Local Boy In The Photograph,Stereophonics,spotify:track:71QHK24ux9WExFkbUzC4Lk,0.374,0.959,-3.34,0.0758,0.000643,0.0,0.161,0.374,130.689,202067
Comeback Kid,Kasabian,spotify:track:2MUQVeBZJUplFP1JI5WJZl,0.486,0.926,-3.864,0.0932,0.00301,0.0,0.0473,0.551,139.985,260173
Love Is Mystical,Cold War Kids,spotify:track:2qFubYeWKXH5jRCoPqOcJO,0.568,0.869,-5.111,0.0385,0.00529,2.22e-05,0.206,0.724,105.99,214373
You're in Love with a Psycho,Kasabian,spotify:track:6SXzkDUuiVnDQG0CtFMLUb,0.719,0.801,-5.08,0.049,0.0234,0.000125,0.178,0.685,120.013,218080
Wait Until The End Of This Day,Emil Landman,spotify:track:0h847iYHZVRg8ojqwnLjk4,0.701,0.498,-7.556,0.0264,0.166,0.0,0.248,0.498,106.011,187907
Good for Nothing,Theo Lawrence,spotify:track:2yTTGKlx1eSYil5PlKuWlI,0.589,0.769,-4.852,0.039,0.0103,0.00347,0.0848,0.705,103.37,276124
Lights Out,Royal Blood,spotify:track:3mkmTUcZtQxuKpyM44lGj6,0.264,0.886,-4.342,0.0662,0.000123,0.000211,0.0982,0.51,89.979,236557
Take a Walk,Passion Pit,spotify:track:4Sfa7hdVkqlM8UW5LsSY3F,0.566,0.755,-5.526,0.0368,0.0338,0.0,0.315,0.445,101.006,264493
Be Who You Are - Acoustic,The Kooks,spotify:track:3D5RkmZmTOikPlwBVMApoW,0.595,0.756,-6.014,0.0362,0.115,3.96e-06,0.187,0.429,138.09,203211
Revolution Rock n Roll,Low Cut Connie,spotify:track:0bZveaycpikweNE3fsVuGU,0.435,0.658,-6.617,0.0379,0.63,0.0183,0.218,0.357,114.706,189280
French Press,Rolling Blackouts Coastal Fever,spotify:track:24Jq9wfHPh7LpZ8uYPTpqw,0.397,0.915,-5.573,0.0539,0.0412,0.0641,0.348,0.719,81.044,326807
Love Is Fine,The Kickdrums,spotify:track:2GhCH5AEMFw1vFz7jrIp24,0.653,0.702,-8.287,0.033,0.138,0.00176,0.324,0.21,95.036,207158
Lemon to a Knife Fight,The Wombats,spotify:track:3Q5Pc6K4UXJ0ke6YnklC1e,0.557,0.849,-3.58,0.0444,0.000889,0.0,0.0944,0.71,149.994,205822
Suitable,Nick J.D. Hodgson,spotify:track:0xChSDJelxwnKOpQg3uaWF,0.503,0.719,-5.345,0.0419,0.135,0.0,0.293,0.579,137.951,213707
What You Know,Two Door Cinema Club,spotify:track:6Nhs2yx9FszOM4uTLmr63Z,0.549,0.755,-3.991,0.0403,0.000741,6.06e-06,0.0786,0.818,139.034,191427
I Found Out,The Pigeon Detectives,spotify:track:4qWCk2JlthJBWmFEms1IOW,0.479,0.907,-1.723,0.0522,0.0679,0.0,0.325,0.646,146.965,123427
Chelsea Dagger,The Fratellis,spotify:track:0txisWocI2H8yPRjYxLo83,0.508,0.813,-3.158,0.139,0.0417,0.0,0.0838,0.55,154.638,215307
Sheila,Jamie T,spotify:track:0FGtGmz8SVEywhUqNFYWsQ,0.729,0.865,-6.006,0.05,0.0858,0.0,0.0764,0.709,95.003,259813
When The Sun Goes Down,Arctic Monkeys,spotify:track:2zzLRQ78kKfPTx8FJQCdC2,0.348,0.875,-4.758,0.199,0.0341,0.0,0.117,0.407,169.152,202133
Lovefool,The Cardigans,spotify:track:0u4htORODiTK9vHVA89MQX,0.64,0.602,-7.902,0.0299,0.0646,0.0,0.375,0.951,111.87,193893
Here Comes Your Man,Pixies,spotify:track:0cs671lxX2eoDzr2KMuo3N,0.669,0.783,-12.302,0.0295,0.0475,0.0296,0.115,0.896,124.518,201693
Alcoholic - Single Version,Starsailor,spotify:track:5rE0BrHJsnT37Ig6svCrBR,0.385,0.666,-7.034,0.029,0.169,2.9e-06,0.111,0.529,101.634,210480
High And Dry,Radiohead,spotify:track:5jafMI8FLibnjkYTZ33m0c,0.418,0.383,-11.782,0.0257,0.0718,0.0177,0.0896,0.352,87.773,257480
L.S.F.,Kasabian,spotify:track:4KByCMUzfWmvXAO7ILudGb,0.613,0.761,-7.468,0.0343,0.00681,0.000152,0.27,0.44,105.274,197600
Elvis Ain't Dead,Scouting For Girls,spotify:track:4g2fZ6wQIZVJ2PmObZUeuj,0.527,0.735,-3.24,0.0498,0.0159,0.0,0.103,0.711,155.116,229893
She's So Lovely,Scouting For Girls,spotify:track:76TltGaTNoBoyS7LmRNCYA,0.497,0.857,-3.313,0.0649,0.0622,0.0,0.0495,0.619,167.142,223813
Shiny Happy People,R.E.M.,spotify:track:1v2zyAJrChw5JnfafSkwkJ,0.452,0.909,-3.977,0.0366,0.0313,0.0603,0.23,0.805,124.623,225787
Men's Needs,The Cribs,spotify:track:3qel23hQWhHT3qGewBQ0pE,0.547,0.944,-2.264,0.0469,0.000102,9.95e-05,0.0665,0.835,122.005,195973
She Bangs the Drums - Remastered,The Stone Roses,spotify:track:3clIHVzJ9J2rvvrFUKLICo,0.339,0.976,-4.782,0.0909,0.00649,0.00672,0.123,0.672,144.723,232333
I Always Knew,The Vaccines,spotify:track:6E3NosMXYlGD21K7KqIxQ1,0.393,0.872,-2.53,0.0401,0.000122,0.000407,0.312,0.393,150.097,214347
Dura,Daddy Yankee,spotify:track:2j2fIJGh4PMdXt9ULI5Tlc,0.786,0.846,-3.468,0.0505,0.174,0.0,0.413,0.819,95.005,200480
La Rompe Corazones,"Daddy Yankee, Ozuna",spotify:track:4okba5wu9mMLXx79DXLKi3,0.685,0.859,-2.595,0.0553,0.116,0.0,0.317,0.891,176.018,204520
Hielo,Daddy Yankee,spotify:track:2HBycDgM5FIOUZFewSTUgp,0.799,0.831,-5.393,0.0357,0.138,0.0,0.121,0.741,130.012,209947
Despacito (Featuring Daddy Yankee),"Luis Fonsi, Daddy Yankee",spotify:track:4aWmUDTfIPGksMNLV2rQP2,0.66,0.786,-4.757,0.17,0.209,0.0,0.112,0.846,177.833,228200
"Lo Que Pasó, Pasó",Daddy Yankee,spotify:track:6z5Xrx58p5Bs18RIe6KXbI,0.816,0.747,-6.468,0.0411,0.102,0.0,0.263,0.848,97.019,210933
Gasolina,Daddy Yankee,spotify:track:6jEZLz3YpnEBRpVkv35AmP,0.857,0.801,-6.499,0.0618,0.332,1.2e-06,0.0789,0.753,96.009,192600
Limbo,Daddy Yankee,spotify:track:3pDhN3qB33AOPhQEkUCaWt,0.806,0.875,-3.817,0.088,0.0838,0.00192,0.065,0.917,125.063,224693
Tu Príncipe,"Daddy Yankee, Zion & Lennox",spotify:track:0Q7ZM15J0cJA9rd7pQYdRq,0.771,0.815,-5.423,0.0719,0.161,2.01e-05,0.189,0.524,94.016,205520
Shaky Shaky,Daddy Yankee,spotify:track:58IL315gMSTD37DOZPJ2hf,0.899,0.626,-4.228,0.292,0.076,0.0,0.0631,0.873,88.007,234320
La Nueva Y La Ex,Daddy Yankee,spotify:track:2UYXTSZkSxWJYGpcd64SRO,0.637,0.945,-3.54,0.135,0.0373,0.0,0.116,0.578,198.05,197053
Llamado de Emergencia,Daddy Yankee,spotify:track:3bkBVEmRJuJZNh5iVgJkWm,0.699,0.91,-4.405,0.036,0.217,2.66e-06,0.146,0.792,97.971,239920
Perros Salvajes,Daddy Yankee,spotify:track:4oROqjxNSBrVxrcSaW77Mc,0.806,0.804,-4.84,0.146,0.0615,0.0,0.115,0.766,88.018,190311
La Despedida,Daddy Yankee,spotify:track:6XE2V2icEranw5YpS4WMDD,0.746,0.993,-2.134,0.0499,0.0866,0.0548,0.0689,0.972,122.046,202827
King Daddy,Daddy Yankee,spotify:track:0zpmJNXSpRwY42jOyWPxgQ,0.759,0.885,-5.114,0.21,0.17,0.0,0.302,0.574,96.238,151133
Descontrol,Daddy Yankee,spotify:track:6QjEVK9HXDWHoqFzHWn7Mk,0.729,0.876,-3.818,0.0679,0.11,0.000715,0.301,0.674,92.993,172907
Ella Me Levanto,Daddy Yankee,spotify:track:3AZXqe3LGCFD4r6YFJgaK3,0.76,0.899,-4.744,0.0677,0.0743,0.0,0.212,0.767,100.046,209493
Rompe,Daddy Yankee,spotify:track:56hK473uZQtJ1tNCm3faR5,0.778,0.857,-5.524,0.0732,0.0809,0.0,0.0657,0.479,88.018,188761
Dale Caliente,Daddy Yankee,spotify:track:6X8pDrhv1pnurPSNUyizR2,0.831,0.742,-6.736,0.153,0.0649,0.0,0.0744,0.712,95.995,195800
Ven Conmigo,"Daddy Yankee, Prince Royce",spotify:track:2QSuNcQxqFfokvbS7SInHG,0.781,0.842,-5.334,0.0403,0.102,0.0,0.0657,0.71,120.054,219787
Lovumba,Daddy Yankee,spotify:track:6oyl7ELfrMqXLhGmIjXY9R,0.734,0.933,-4.639,0.0578,0.0375,0.0,0.302,0.935,120.987,218413
El Ritmo No Perdona - Bonus Track,Daddy Yankee,spotify:track:0RIKUQ7y8q3XDrErHivJdu,0.769,0.923,-5.62,0.0968,0.0625,0.0,0.12,0.853,91.951,184627
Somos de Calle,Daddy Yankee,spotify:track:5tqPtgj3Q2NrwRBUCZ3j7L,0.594,0.687,-5.808,0.219,0.00597,0.0,0.0843,0.773,120.036,214787
La Señal,Daddy Yankee,spotify:track:0Riv3ZAFLrVjhLBzEGOjUM,0.685,0.947,-3.938,0.0501,0.148,0.0,0.0742,0.962,81.004,173627
Impacto,Daddy Yankee,spotify:track:4jjPvqzUHNYuNEtSJnklwJ,0.794,0.864,-5.964,0.0755,0.00889,0.000145,0.0398,0.9,100.516,185107
Taladro,"Eddie Dee, Daddy Yankee",spotify:track:78pULXTrLm6bkWxRqYMlkx,0.848,0.78,-5.902,0.15,0.155,1.1e-05,0.218,0.659,95.002,205924
Me Enteré,"Daddy Yankee, Tito ""El Bambino""",spotify:track:2yTDWOCN0jpezKGhAHG68o,0.715,0.96,-3.562,0.0357,0.0816,7.27e-05,0.357,0.943,116.017,186947
Salud y Vida,Daddy Yankee,spotify:track:5sC0youR92ljJRn6VatElb,0.945,0.49,-5.766,0.107,0.606,0.0,0.323,0.906,100.011,206800
Talento de Barrio,Daddy Yankee,spotify:track:0FpNht2p5jYo2aiSki5jcT,0.584,0.965,-4.804,0.262,0.0412,0.0,0.126,0.446,139.895,187373
Grito Mundial,Daddy Yankee,spotify:track:0dBzd1yYor4eC5nFqX32QR,0.729,0.983,-5.616,0.0631,0.0124,0.0,0.0776,0.811,118.982,185453
¡Dimelo!,"Daddy Yankee, Divino",spotify:track:0mWBXDvPdvgfIP5XWv46Su,0.834,0.912,-4.942,0.0733,0.0308,2.75e-06,0.345,0.858,96.071,193358
¿Qué Tengo Que Hacer?,Daddy Yankee,spotify:track:0nssGbqC6ZSMx0OliWCkHk,0.76,0.893,-3.913,0.0639,0.0758,8.21e-05,0.321,0.948,107.994,218507
Pose,Daddy Yankee,spotify:track:5BB5zjzCzo9M3uOKzhiXZB,0.806,0.887,-3.51,0.0909,0.0407,2.03e-05,0.364,0.443,117.031,217227
No Me Dejes Solo,"Daddy Yankee, Wisin & Yandel",spotify:track:1EhM7nYYRpH2kzPdlnEpHa,0.79,0.837,-5.797,0.0609,0.0755,5.39e-05,0.0729,0.798,95.968,170240
Pasarela,Daddy Yankee,spotify:track:7uUYUy2qLfev9ppNvFBHpX,0.842,0.893,-4.277,0.0462,0.104,0.0,0.289,0.713,121.035,193627
Llegamos A La Disco,"Daddy Yankee, De La Ghetto, Ñengo Flow, Arcangel, Farruko, Baby Rasta & Gringo, Kyza, Kendo",spotify:track:4nfn4q3ygnHhriDyYW6Fkf,0.731,0.786,-4.898,0.254,0.114,0.0,0.437,0.78,89.092,453360
El Amante,"Daddy Yankee, J Alvarez",spotify:track:54Em6QZvAxt1tblPNAqfD7,0.633,0.749,-4.962,0.0961,0.18,0.0,0.0783,0.816,179.872,220547
No Es Culpa Mía - Bonus Track,Daddy Yankee,spotify:track:6lRkzsQVkoOvKMXNiBONCo,0.801,0.844,-4.376,0.0902,0.462,1.51e-06,0.0819,0.667,94.054,107572
Noche De Entierro (Nuestro Amor) - DJ Kazzanova Mix,"Daddy Yankee, Wisin & Yandel, Zion, Héctor ""El Father"", Tonny Tun Tun",spotify:track:3AgSVy0AomD6dZM4yVDhZA,0.87,0.941,-3.514,0.24,0.268,1.84e-05,0.0595,0.672,94.998,214947
Segurosqui,Daddy Yankee,spotify:track:50RLGYWZRzRJECGhdWn1ZS,0.889,0.888,-7.116,0.0923,0.0405,4.63e-06,0.196,0.892,99.026,223800
Mirame,Daddy Yankee,spotify:track:1ljnwB1bv0sXnUKrmx10Qy,0.787,0.813,-6.794,0.141,0.247,0.0,0.857,0.707,95.996,212533
Rumba y Candela,Daddy Yankee,spotify:track:2dNvNUYSp0Urc6m6WsOcZj,0.747,0.904,-2.3,0.0708,0.13,8.38e-06,0.36,0.878,89.987,188893
Daría,Daddy Yankee,spotify:track:3UOpJnNS6V621RaLNj3YfO,0.712,0.878,-6.454,0.0633,0.117,0.0,0.102,0.818,98.989,216453
Pa-Kum-Pa!,Daddy Yankee,spotify:track:5g3Uxz0Sk0Mifa6W9NaNVm,0.855,0.808,-4.18,0.0775,0.134,0.00422,0.255,0.885,95.015,200653
En Sus Marcas Listos Fuera,Daddy Yankee,spotify:track:3N6UHeyGCAU18Nh0p12wH4,0.808,0.805,-5.765,0.179,0.0304,0.0,0.229,0.557,90.019,206520
Déjala Caer,Daddy Yankee,spotify:track:1N9oapEqWE5vLpc6ugFiXB,0.688,0.886,-5.06,0.123,0.0699,0.000828,0.34,0.8,185.974,191547
Jefe,Daddy Yankee,spotify:track:326bClEXlXk9oiW5ynpfSA,0.846,0.859,-4.337,0.237,0.0733,0.0,0.104,0.655,125.092,237760
Miss Show,Daddy Yankee,spotify:track:6sPkFCZhckihZFUdF8rtu2,0.825,0.841,-4.272,0.152,0.295,0.0,0.353,0.79,94.023,168920
Vaivén,Daddy Yankee,spotify:track:0OnqFl8tNKgkIl489RdfuK,0.768,0.894,-2.564,0.0413,0.29,0.0125,0.0865,0.745,105.962,224333
Con Calma,"Daddy Yankee, Snow",spotify:track:5w9c2J52mkdntKOmRLeM2m,0.737,0.86,-2.652,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,193227
Adictiva,"Daddy Yankee, Anuel AA",spotify:track:6MJUCumnQsQEKbCy28tbCP,0.788,0.771,-3.206,0.0563,0.291,5.62e-05,0.172,0.701,99.038,207853
Que Tire Pa Lante,Daddy Yankee,spotify:track:6RyaV7owmVU6fzEPE17sF1,0.658,0.901,-2.814,0.0357,0.0478,0.0,0.12,0.708,93.979,210520
China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",spotify:track:2ksOAxtIxY8yElEWw8RhgK,0.786,0.808,-3.702,0.0882,0.0846,0.000289,0.0822,0.609,105.027,301714
La Noche De Los Dos,"Daddy Yankee, Natalia Jiménez",spotify:track:1oKHVatwHayiMn6MpvmPVZ,0.761,0.79,-3.944,0.0989,0.109,2.73e-06,0.172,0.747,129.988,223360
Muévelo,"Nicky Jam, Daddy Yankee",spotify:track:4VgYtXCVJ7IbWAZ5ryfvEQ,0.594,0.808,-2.409,0.0489,0.415,1.39e-05,0.565,0.919,188.09,194892
De Vuelta Pa' La Vuelta,"Daddy Yankee, Marc Anthony",spotify:track:7AUhck1sPy11OExQmDDx4P,0.665,0.94,-3.606,0.0553,0.434,0.0,0.0914,0.752,93.725,231593
Todo Comienza en la Disco,"Wisin, Daddy Yankee, Yandel",spotify:track:3a2aBKuvgP1qHo3BqU3lGh,0.826,0.836,-4.238,0.0654,0.0961,4.81e-06,0.282,0.887,91.992,268107
Donde Estan las Gatas,"Alex Gargolas, Nicky Jam, Daddy Yankee",spotify:track:1KwC5opXLCsVlnJi2MKvRK,0.827,0.788,-11.937,0.0831,0.246,0.0,0.0764,0.815,109.934,170005
Sígueme Y Te Sigo,Daddy Yankee,spotify:track:7F7kL3i6SDEIbDcoJZGiig,0.736,0.878,-3.604,0.0428,0.069,6.39e-05,0.756,0.663,100.025,209787
Dale Don Dale,Don Omar,spotify:track:0uDWeoqlZi98NqUKbNJxVK,0.825,0.852,-6.471,0.0789,0.0282,0.000264,0.131,0.813,95.028,214653
Dile,Don Omar,spotify:track:6ndHpwZ4sJuIDkgzux48ka,0.821,0.692,-7.696,0.123,0.192,3.99e-05,0.0583,0.749,94.007,204667
Salio El Sol,Don Omar,spotify:track:5rR3EYcEqhnDO2SuBZvPin,0.887,0.701,-5.892,0.0872,0.106,0.00948,0.0466,0.965,110.002,315293
Descontrol,Daddy Yankee,spotify:track:3FOh6ssnmv39CsoMYVUMZA,0.729,0.876,-3.818,0.0679,0.11,0.000715,0.301,0.674,92.993,172907
Ella Me Levanto,Daddy Yankee,spotify:track:3BffVF4K7OelPuo46KUqhe,0.759,0.9,-4.766,0.0643,0.0804,0.0,0.224,0.76,100.021,209493
Gasolina,Daddy Yankee,spotify:track:6OddKiFLnI5coE7oTlA2nP,0.855,0.794,-6.498,0.0557,0.335,4.38e-06,0.0711,0.751,96.013,192573
Noche De Sexo,"Wisin & Yandel, Anthony Santos",spotify:track:2jGFubknkHbMNsojO8ot5I,0.718,0.698,-5.539,0.242,0.11,0.0,0.456,0.481,94.036,205613
Hasta Cuando,Angel Lopez,spotify:track:4IJ9vuBmQmrl0LGbT1WiZb,0.759,0.817,-4.623,0.058,0.191,0.0,0.163,0.502,96.013,256333
El Serrucho,Mr. Black,spotify:track:5WDPEJQbBkVFcspGti0MyH,0.874,0.97,-5.443,0.134,0.0327,0.0,0.355,0.763,116.002,199424
Ay Vamos,J Balvin,spotify:track:3toP91RkMRQw7M0bScJ4F9,0.716,0.71,-5.708,0.111,0.166,7.73e-05,0.107,0.904,173.911,226413
La Nueva Y La Ex,Daddy Yankee,spotify:track:1WZ80MjGaTqyPPRTP5TJQf,0.771,0.941,-4.052,0.0584,0.0423,0.0,0.158,0.631,98.996,196933
Dile,Don Omar,spotify:track:69Ej1xrGjOcHvIMtMKxK0G,0.817,0.714,-7.501,0.141,0.184,0.000132,0.042,0.714,94.001,204600
Gasolina,Daddy Yankee,spotify:track:2ZvA3wB2SSg3GLQjJBoRn6,0.857,0.815,-6.496,0.0569,0.332,2.51e-06,0.0631,0.73,96.023,192947
Baila Morena - Original Reggaeton Mix,Hector & Tito,spotify:track:0kwaKhIcaezQuShga1djFA,0.783,0.824,-4.973,0.123,0.214,0.0,0.102,0.726,93.998,187080
Torre De Babel - Wisin & Yandel Remix,David Bisbal,spotify:track:2WefhGcb2MRNe8fV1ql6mm,0.789,0.788,-4.957,0.0738,0.232,0.0,0.068,0.777,99.994,262200
Rompe,Daddy Yankee,spotify:track:4irhLbic5EfTly8TBXFb8Y,0.754,0.805,-5.974,0.0416,0.0471,1.6e-05,0.0715,0.475,88.032,186853
Donde Estan Las Gatas (feat. Nicky Jam),"Daddy Yankee, Nicky Jam",spotify:track:3Kemg5QPEhEjOiWUFrTkXX,0.836,0.961,-2.679,0.0635,0.194,0.0,0.074,0.76,109.957,170006
Atrévete-Te-Te,Calle 13,spotify:track:1q8NdCAQ9QUjpYiqzdd3mv,0.829,0.878,-5.951,0.101,0.0959,0.0,0.776,0.883,87.991,239307
Tu Cintura,"Tito ""El Bambino"", Don Omar",spotify:track:0BlgEwW4l938kmdjknfxyW,0.802,0.835,-7.15,0.117,0.0842,0.0,0.162,0.877,94.007,187617
Dandole Remix,"Omega, Gocho & Jowell",spotify:track:2hGX7o1gV6cC8s20rJTFsw,0.812,0.783,-5.598,0.0528,0.0478,1.21e-05,0.836,0.864,117.028,243547
Taboo,Don Omar,spotify:track:59VfSMPf55wSYTdZjQCHN6,0.442,0.884,-5.782,0.0641,0.0458,0.0,0.0827,0.813,125.031,292160
Llamado De Emergencia,Daddy Yankee,spotify:track:6ukh1NxuelpjLOZBlcBCmh,0.698,0.91,-4.407,0.0351,0.211,3.46e-06,0.156,0.772,97.985,239920
Tu Gatita,"JMP, H.O.M.",spotify:track:6lH8KoCMIvLqB8UTPcj7aK,0.77,0.715,-7.382,0.103,0.0571,0.0,0.157,0.597,96.005,169973
Si Te Vas / Que Tiengo Que Hacer (feat. Daddy Yankee) [Remix],Omega,spotify:track:04EQA0Asrc0gGQcqBvXuSE,0.854,0.854,-3.52,0.068,0.293,0.0713,0.0427,0.956,124.984,319547
Una Vaina Loca,Fuego,spotify:track:36cIxPAlW73RVpjEw2k3Ac,0.797,0.88,-4.89,0.0425,0.122,0.0,0.0859,0.664,116.969,262107
Guaya Guaya,Don Omar,spotify:track:5YiYgzELh2M8I3LyLOMnNz,0.689,0.872,-2.116,0.243,0.00661,0.000196,0.136,0.687,183.942,194013
Mi Vecinita,Plan B,spotify:track:24Ys3m6hKQJlftrhCYSwgP,0.757,0.836,-4.435,0.0749,0.171,0.0,0.573,0.87,93.969,183320
Verano Azul,Juan Magán,spotify:track:0dgwWXkfcWyB2a2qTgEc0F,0.887,0.87,-5.267,0.119,0.0145,0.0,0.015,0.838,126.048,190560
Rain Over Me (feat. Marc Anthony),"Pitbull, Marc Anthony",spotify:track:2cZrrQMjB63c0iIugYH9zS,0.61,0.906,-2.117,0.0648,0.00416,0.0,0.758,0.294,127.916,231573
I Know You Want Me (Calle Ocho),Pitbull,spotify:track:13plQdOoWSSXPRUSZc5FuM,0.817,0.733,-6.009,0.145,0.0152,4.31e-05,0.107,0.833,127.056,237120
"Bon, Bon",Pitbull,spotify:track:2NqWJfkEmOENiQWHxsVwJn,0.798,0.895,-7.811,0.216,0.177,0.0,0.358,0.784,127.967,215806
On The Floor - Radio Edit,"Jennifer Lopez, Pitbull",spotify:track:0Oe49j06Bjrxs8PltuVeaW,0.758,0.686,-6.346,0.0792,0.0848,0.00127,0.142,0.444,130.007,230907
Bailando por el Mundo (feat. Pitbull & El Cata),"Juan Magán, Pitbull, El Cata",spotify:track:4hLEorB47NotMkSLCWmh5e,0.72,0.822,-4.166,0.0464,0.0273,0.0,0.308,0.97,129.988,197240
Él No Te Da,Dasoul,spotify:track:51AfjBNI5b6pQfusccce46,0.794,0.803,-4.409,0.0377,0.0134,0.0,0.0364,0.476,105.039,248280
Mi Reina,Henry Mendez,spotify:track:5pl6anmN4tr564vO53AxBv,0.811,0.93,-4.677,0.0473,0.0501,0.0,0.282,0.961,127.932,191245
La conocí bailando (feat. K-Narias) - Radio Edit,"Dr. Bellido, K-Narias",spotify:track:7fZJWsOEdr8aP8okxyTBGd,0.711,0.841,-3.803,0.0322,0.265,0.0,0.268,0.658,104.033,181116
Mamá Juana,Dr. Bellido,spotify:track:22kXFPMewuKkdpqFH4d6JC,0.686,0.853,-7.178,0.0614,0.0792,0.0,0.145,0.545,130.014,204520
Señorita - Radio Edit,"Dr. Bellido, Papa Joe",spotify:track:5GL2DYdgv1eKyITaXYspG4,0.665,0.898,-6.28,0.0414,0.000948,0.0,0.321,0.529,125.037,205920
Me Enamoré,Charly Rodriguez,spotify:track:1h1t9rYJBwEBy1uEQoduSg,0.741,0.948,-2.719,0.0979,0.0183,0.0,0.277,0.874,128.056,230625
Hasta La Madrugada,Charly Rodriguez,spotify:track:6o2fZsN1nC8Bf4k2O7Yiuj,0.845,0.811,-4.869,0.0588,0.17,0.0,0.254,0.961,127.96,231094
Agachate,Danny Romero,spotify:track:03ATKw97s9WHuek1TKmhVq,0.554,0.763,-6.521,0.177,0.0777,1.42e-06,0.145,0.828,127.581,188223
Princesa de mi cuento,Sergio Contreras,spotify:track:2JkJ0E1KFU6HatD5Y21YfX,0.812,0.741,-4.945,0.0417,0.044,0.0,0.075,0.836,130.012,198692
Pasado pisado,"Comando Tiburon, Mach and Daddy",spotify:track:77vEomoqQ4AezbqFvLAV9N,0.571,0.823,-5.874,0.193,0.118,6.55e-05,0.0416,0.913,128.975,197773
Como Tu No Hay Dos,Buxxi,spotify:track:52YdLwPuNC8iLcWCnc4k2p,0.592,0.894,-5.392,0.0844,0.0329,0.0,0.315,0.809,125.985,226926
Angelito Sin Alas (feat. Juan Magán) - Remix,"DCS, Juan Magán",spotify:track:4JNhIH4o4b4i6PicSc8Qpf,0.731,0.91,-4.634,0.0664,0.252,0.0,0.104,0.879,120.025,205053
Motívate,Danny Romero,spotify:track:6zlgKpuinRi075R2L3juPB,0.711,0.841,-5.473,0.0399,0.00381,0.0,0.158,0.617,127.998,206240
Suavemente,Elvis Crespo,spotify:track:7JIjUx3GsL0upxmNJacmtz,0.814,0.874,-3.18,0.071,0.234,0.00162,0.0476,0.911,124.052,267160
Noche de Estrellas,"José de Rico, Henry Mendez, Jay Santos",spotify:track:2pbLzrByOZPibnYwSXLplI,0.732,0.912,-4.144,0.0602,0.189,0.0,0.375,0.893,128.006,201000
Entre la Playa Ella y Yo,"Big Yamo, Vato 18k",spotify:track:1tvdNGCcgAhYaYq7ouIYGJ,0.638,0.863,-3.619,0.073,0.485,0.0,0.231,0.972,84.951,185078
Te Pintaron Pajaritos,"Yandar & Yostin, Andy Rivera",spotify:track:419w8oZaqevgyZfdvFZEHa,0.889,0.77,-5.674,0.167,0.0855,0.0,0.0967,0.935,96.025,172375
Bailando por Ahi,Juan Magán,spotify:track:6sHBvzRsuGunQTfCk18KXi,0.73,0.732,-5.167,0.051,0.0427,2.22e-06,0.262,0.974,129.974,180453
Pégate Más,Dyland & Lenny,spotify:track:7IUqWSyZP376AhNCmQwYRE,0.638,0.865,-5.369,0.0372,0.00933,0.000549,0.0547,0.961,132.018,201413
Barquito,"Tito ""El Bambino""",spotify:track:4qXVfHEWlq675jmhUJKlK5,0.792,0.834,-6.557,0.13,0.16,0.0,0.231,0.871,100.015,223333
Virtual Diva,Don Omar,spotify:track:5nJaS3PEpyPfaWiLxIGtRX,0.785,0.881,-4.205,0.0505,0.212,0.0,0.753,0.729,113.999,239493
Rayos de Sol,"José de Rico, Henry Mendez",spotify:track:1d5obgzCOtwq9qaxfe4Hpw,0.747,0.872,-4.233,0.0355,0.0742,0.00039,0.149,0.882,128.013,231562
Se Vuelve Loca,Juan Magán,spotify:track:4G4lvlyyVmtRDucE3ka177,0.715,0.634,-7.737,0.0341,0.0401,1.25e-06,0.0509,0.63,126.023,188773
"Si Te Vas, Que Tengo Que Hacer - Remix",Omega,spotify:track:3ZnT4SBDH3XKZhamiNCY7t,0.852,0.687,-5.319,0.0535,0.0647,3.07e-06,0.0593,0.951,125.017,247525
La Temperatura (feat. Eli Palacios),"Maluma, Eli Palacios",spotify:track:03f28Kmu5AlIdKAfEJiI8F,0.763,0.82,-4.873,0.0373,0.0515,4.65e-05,0.316,0.905,119.971,224787
Danza Kuduro,"Don Omar, Lucenzo",spotify:track:2a1o6ZejUi8U3wzzOtCOYw,0.4,0.915,-4.89,0.28,0.0846,0.0,0.0503,0.878,88.917,198773
Chica Latina,"Juan Magán, Salgado",spotify:track:2BJWL3ZPJ2Ndlz2tS6RoXo,0.668,0.727,-3.956,0.107,0.0284,0.0,0.0345,0.876,127.962,227000
Vuelve,Buxxi,spotify:track:7B7XInLc0NLpIYGDsiht2Y,0.702,0.905,-3.114,0.0534,0.0608,0.0,0.389,0.955,124.965,205610
Ella No Volverá,Dr. Bellido,spotify:track:4ZCIULjxlIOPcKRpXhqOrB,0.814,0.668,-6.519,0.0315,0.0322,0.0,0.0494,0.893,130.055,210000
Soltera (feat. Danny Romero & Fito Blanko),"José de Rico, Danny Romero, Fito Blanko",spotify:track:58xwJEkzxhyXzYyjELtOCN,0.629,0.938,-4.335,0.0471,0.0421,0.0,0.276,0.949,128.031,172493
Echa Pa'lla (Manos Pa'rriba) (feat. Papayo),"Pitbull, Papayo",spotify:track:0fjRYHFz9ealui1lfnN8it,0.464,0.842,-3.64,0.269,0.0597,0.0,0.037,0.957,89.759,196440
